Brand,Product Name,Discount Price,Actual Price,Ratings
Puma,"15"" Laptop Backpack with Signature Branding ",₹662,"₹1,299",3.2
Wildcraft,Unisex Streak 22 Patterned Backpack,"₹1,699",,
Skybags,Men Printed Backpack with Zip Closure ,₹525,"₹1,050",4.2
VENEER,Men Back Pack with Adjustable Strap,"₹1,188","₹4,399",3
Skybags,Men Logo Print Backpack,"₹1,447","₹4,000",4
F-GEAR,Men Printed Backpack,₹887,"₹2,398",4.6
SPYKAR,Men Regular Fit Back Pack,₹950,"₹1,899",
Wildcraft,Unisex Backpack with Adjustable Straps,"₹2,299",,
Puma,Minimalist Backpack,₹952,"₹2,799",4.6
Skybags,Men Colourblock Backpack with Zip Closure,"₹1,224","₹2,300",
Wildcraft,Men Geometric Print Water-Repellent Backpack,"₹1,799",,
PERFORMAX,Men Manchester City Print Everyday Backpack,"₹1,019","₹1,699",4
Priority,Men Everyday Use Back Pack,₹429,"₹1,799",4.3
Puma,Brand Print Backpack,₹900,"₹1,799",3.5
Puma,Brand Print Backpack,"₹1,374","₹2,499",
Skybags,Men Trible Brand Print Backpack,₹652,"₹1,500",3.8
Puma,Brand Print Backpack,"₹1,999",,4.6
PERFORMAX,Men Printed Backpack,₹779,"₹1,299",3.6
Priority,Typographic Print Backpack with Adjustable Strap ,₹382,"₹1,299",
Priority,Typographic Print Backpack with Adjustable Strap ,₹408,"₹1,299",
Priority,Men Others Back Pack,₹375,"₹1,399",3.4
Priority,Men Laptop Travel Backpack,₹387,"₹1,249",4.9
Skybags,Men Grad Plus Brand Print Laptop Backpack,"₹1,131","₹2,600",4.5
Puma,Man Puma Back Pack,"₹1,410","₹2,999",4.1
Puma,Brand Print Backpack,"₹1,119","₹1,999",
Wildcraft,Men Laptop Back Pack,"₹1,699",,
Priority,Men Others Back Pack,₹375,"₹1,399",3.4
Puma,Men Brand Print Everyday Backpack,"₹1,400","₹2,799",3.7
Puma,Brand Print Backpack,"₹1,427","₹2,799",
Skybags,Men Valor 02 Laptop Backpack,"₹1,260","₹3,600",
ADIDAS,Clsc Bos Bp Sports Bag,"₹1,679","₹2,799",
Wildcraft,Unisex Backpack with Adjustable Straps,"₹2,299",,
F-GEAR,Unisex Camouflage Print Backpack with Adjustable Straps,₹623,"₹1,640",2.7
Priority,Others Back Pack,₹324,₹975,
Priority,Back Pack with Adjustable Shoulder Strap,₹429,"₹1,799",
Skybags,Men Typographic Print Rucksack Bag with Adjustable Strap,₹999,"₹3,300",3.8
SPYKAR, Men Regular Fit Back Pack,"₹1,050","₹2,099",
Priority,Mens Laptop Bag  Pack,₹375,"₹1,399",4.8
F-GEAR,Men Logo Print Waist Pouches,₹759,"₹1,380",3
Priority,Mens Laptop Bag  Pack,₹831,"₹2,399",
Priority,College Back Pack,₹471,"₹1,599",
Puma,Phase Backback II,₹900,"₹1,799",
NIKE,Heritage Eugene Backpack,"₹2,186","₹2,995",2.6
Wildcraft,Unisex Backpack with Adjustable Straps,₹419,₹699,2.9
Priority,Typographic Print Back Pack with Zip-Closure,₹334,"₹1,099",3.3
NETPLAY,"Men 14"" Laptop Backpack with Adjustable Strap",₹900,"₹1,799",3.1
Priority,Men Backpack with Adjustable Straps,₹824,"₹3,499",4.8
Priority,Men Graphic Print Backpack with Adjustable Straps,₹375,"₹1,399",
Priority,Men Others Back Pack,₹429,"₹1,799",4.3
FUR JADEN,Laptop Backpack with Adjustable Strap,₹700,"₹2,000",4
ONEGO,Typographic Print Everyday Backpack,₹330,"₹1,499",3.5
NIKE,Hike Backpack,"₹3,221","₹4,295",4
Leather World,Back Pack with Zip-Closure ,₹900,"₹2,499",3.5
Priority,Men Others Back Pack,₹471,"₹1,599",3.6
ARISTOCRAT,Logo Print Back Pack with Zip-Closure,₹660,"₹2,640",3.8
YOUSTA,Men Everyday Backpack with Double Pockets,₹799,,4.2
Priority,Men Others Back Pack,₹471,"₹1,599",3
Priority,Solid Back Pack,₹429,"₹1,799",4.3
Priority,Back Pack with Adjustable Shoulder Strap,₹333,₹975,
Priority,Men Others Back Pack,₹471,"₹1,599",3.8
Priority,College Back Pack,₹549,"₹2,499",
Priority,Men Others Back Pack,₹307,"₹1,199",3.6
Puma,Backpack with Adjustable Strap,"₹1,125","₹2,499",3
Priority,Typographic Print Backpack with Adjustable Strap ,₹412,"₹1,315",3
Leather World,Typographic Print Hiking Back Pack,₹750,"₹2,499",3.6
NETPLAY,"Men 14"" Laptop Backpack with Adjustable Strap",₹900,"₹1,799",3.1
Pazzo,Floral Print Back Pack,₹860,"₹1,999",
Priority,Men Typographic Print Backpack with Adjustable Straps,₹526,"₹1,395",3.8
Puma,Men Brand Print Everyday Backpack,₹989,"₹2,299",2.8
YOUSTA,"Men 16"" Laptop Backpack",₹899,,
ONEGO,Colourblock Laptop Backpack,₹480,"₹1,499",3.6
Lunar's,Men Snowflakes Print Travel Back Pack,₹599,"₹1,339",
ARISTOCRAT,Striped Backpack with Adjustable Straps,₹963,"₹3,500",4.3
Priority,Men Camouflage Print Backpack with Adjustable Straps,₹498,"₹1,395",
Skybags,Men Gear Brand Print Backpack,₹600,"₹1,500",3.7
Priority,Laptop Back Pack,₹387,"₹1,249",4.7
Puma,Men Logo Print Backpack,₹989,"₹1,799",
MOVE-MEANT,Men Typographic Print Backpack with Zip Closure,₹630,"₹1,499",3.5
Priority,Typographic Print Backpack with Adjustable Strap ,₹333,₹975,4
F-GEAR,Water-Resistant Ergonomic Everyday Backpack,"₹1,089","₹1,980",4.3
Priority,Back Pack with Adjustable Shoulder Strap,₹375,"₹1,399",
Skybags,Men Archies Typographic Print Backpack,₹880,"₹2,200",3.1
Lunar's,Travel Bag with Adjustable Strap,₹599,"₹1,799",4.1
Priority,Mens Laptop Bag  Pack,₹387,"₹1,249",4.7
Wildcraft,Unisex Brand Print Backpack with Adjustable Strap,"₹2,299",,
Wildcraft,Unisex Back Pack,"₹2,299",,
Priority,Typographic Print Backpack with Adjustable Strap ,₹412,"₹1,315",3
Jack & Jones,"Men 15"" Colourblock Laptop Backpack with Adjustable Shoulder Straps","₹2,399","₹2,999",3.6
Priority,Typographic Print Backpack with Adjustable Strap ,₹402,₹975,4.3
ONEGO,Solid Back Pack,₹345,"₹1,499",3.3
Priority,Men Laptop Backpack with Multiple Pockets,₹419,"₹1,999",4
F-GEAR,Men Printed Backpack with Adjustable Strap,₹465,"₹1,258",
F-GEAR,Brand Print Everyday Backpack,₹539,"₹1,998",4
ONEGO,Colourblock Backpack,₹330,"₹1,499",3.4
Priority,Men Typographic Print Backpack with Adjustable Straps,₹503,"₹1,365",
Puma,Plus Gym Bag,₹476,₹899,
GEAR,Everyday Backpack with Contrast Detail,₹900,"₹1,999",3.5
Wiki,Unisex Pardus Animal Print Backpack with Pouch,"₹2,327","₹2,449",
Puma,Brand Print 25 Ltr Everyday Backpack,₹650,"₹1,299",3.5
Puma,"Men 16"" Logo Print Laptop Backpack","₹1,000","₹1,999",3.6
Priority,Typographic Print Backpack with Adjustable Strap ,₹333,₹975,4
Puma,"15"" Logo Print Backpack",₹841,"₹1,999",5
Priority,Typographic Print Backpack with Adjustable Strap ,₹408,"₹1,299",2.5
Priority,Men Typographic Print Backpack,₹307,"₹1,199",4.1
Priority,Men Travel Backpack with Adjustable Straps ,₹515,"₹2,599",
Wildcraft,Unisex Checked Backpack with Adjustable Straps,₹419,₹699,
YOUSTA,Men Fold-Over Backpack,₹799,,3.3
Priority,Typographic Print Backpack with Adjustable Strap ,₹411,₹975,3.9
